userId,Job_Id,rating
1,61,4.0
1,175,4.6
1,75,4.1
1,73,4.7
1,210,4.0
1,193,4.7
1,224,4.4
1,30,3.7
1,189,4.0
1,187,3.6
1,64,3.6
1,143,4.0
1,89,4.5
1,229,3.8
1,228,3.7
1,1,4.6
1,3,4.1
1,208,4.7
1,49,4.1
1,151,3.9
1,31,4.6
1,166,4.4
1,246,4.2
1,129,4.5
1,127,3.8
1,216,4.6
1,220,4.3
1,53,5.0
1,29,3.8
1,240,4.9
1,226,4.8
1,112,5.0
1,103,3.8
1,120,4.9
1,209,3.5
1,118,3.9
1,88,4.5
1,136,4.4
1,182,4.3
1,135,4.4
1,168,4.4
1,128,4.3
1,87,4.1
1,178,4.8
1,72,4.4
1,167,3.6
1,47,4.1
1,204,4.3
1,123,4.6
1,133,3.8
1,188,3.8
1,28,4.8
1,68,4.5
1,124,3.8
1,195,4.8
1,243,3.5
1,70,3.7
1,69,4.7
1,242,3.9
1,199,4.0
1,48,4.3
1,4,4.6
2,209,5.0
2,82,3.8
2,20,4.6
2,9,4.1
2,168,3.6
2,46,4.6
2,104,3.5
2,166,4.4
2,120,4.7
2,170,4.5
2,137,4.9
2,148,3.7
2,213,3.8
2,68,4.1
2,29,4.2
2,244,4.7
2,164,3.8
2,28,3.8
2,143,3.6
2,158,4.7
2,234,4.4
2,185,4.8
2,114,4.8
2,167,4.1
2,204,4.3
2,150,4.0
2,66,4.1
2,2,4.9
2,147,4.8
2,10,3.8
2,64,4.6
2,92,3.7
2,84,4.0
2,125,4.9
2,248,4.6
2,38,3.7
2,196,3.5
2,30,4.0
2,117,4.7
2,37,4.0
2,41,4.1
2,224,3.9
3,150,4.2
3,116,4.6
3,32,4.6
3,113,4.6
3,87,4.3
3,156,3.6
3,103,4.9
3,16,4.6
3,60,4.0
3,63,4.6
3,98,3.6
3,112,3.9
3,15,4.7
3,163,4.0
3,145,3.6
3,231,3.6
3,183,4.2
3,13,4.9
3,151,4.6
3,160,4.0
3,14,5.0
3,217,3.9
3,185,4.3
3,232,4.1
3,28,4.9
3,237,3.9
3,56,3.8
3,132,4.0
3,20,4.7
3,133,4.5
3,172,4.6
3,214,4.3
3,43,4.5
3,27,4.9
3,90,4.8
4,243,3.8
4,220,4.2
4,114,4.6
4,73,4.7
4,91,3.7
4,148,4.6
4,118,3.6
4,70,4.2
4,78,4.3
4,32,4.3
4,229,4.5
4,141,4.5
4,1,4.1
4,34,3.6
4,175,3.5
4,217,4.3
4,72,3.8
4,84,3.8
4,190,5.0
4,149,4.8
4,204,3.7
4,52,4.0
4,167,4.5
4,127,4.3
4,193,4.0
4,35,3.7
4,105,5.0
4,194,4.8
4,202,4.5
4,28,4.4
4,158,4.5
4,237,4.3
4,230,4.9
4,23,3.9
4,215,3.9
4,152,4.0
4,206,4.7
4,154,4.9
4,225,4.0
4,38,3.8
4,113,4.5
4,5,4.4
4,224,4.4
4,4,4.1
4,56,4.2
4,176,4.3
4,49,4.5
4,134,4.4
4,43,4.6
4,90,4.4
4,61,4.6
4,75,4.3
4,150,4.2
4,172,4.3
4,64,4.7
4,27,4.0
4,192,4.5
4,173,3.8
4,135,4.0
4,179,3.5
4,247,4.5
4,201,4.3
4,103,3.9
4,104,4.3
4,248,3.6
4,183,3.9
4,115,3.7
4,2,4.2
4,29,4.0
4,129,4.4
4,234,3.6
4,45,4.9
4,123,4.6
4,87,4.5
4,41,3.7
4,128,3.8
4,210,4.1
4,42,4.3
4,44,4.8
4,162,3.7
4,145,4.7
4,125,4.8
4,12,4.7
4,146,3.6
4,53,4.0
4,14,4.1
4,169,4.5
4,221,4.3
4,147,4.7
4,6,4.9
4,60,3.6
4,227,4.8
4,180,4.1
4,209,3.8
4,130,4.4
4,157,5.0
4,79,4.9
4,132,4.0
4,232,3.5
4,245,3.6
4,211,4.3
4,11,4.0
4,33,4.7
4,17,4.1
4,37,4.5
4,66,4.5
4,131,4.8
4,48,4.1
4,249,4.3
4,99,4.9
4,184,4.4
4,98,4.1
4,82,4.5
4,89,3.7
4,106,4.3
4,108,4.4
4,36,4.5
4,55,3.7
4,214,4.3
4,212,4.7
4,22,3.6
4,156,4.8
4,178,3.8
4,80,4.5
4,233,3.6
4,69,3.6
4,15,3.8
4,58,4.6
4,246,4.7
4,111,4.2
4,182,4.0
4,96,4.5
4,63,4.7
4,205,4.1
4,164,4.0
4,18,3.8
4,107,3.9
4,170,4.7
4,197,5.0
4,25,4.7
4,46,4.6
4,20,4.4
4,223,4.0
4,238,4.8
4,24,4.4
4,40,3.9
4,161,4.9
4,50,4.0
4,85,3.6
4,235,3.8
4,31,3.9
4,236,4.9
4,122,4.0
4,88,4.5
4,8,4.4
4,177,3.5
4,19,4.4
4,120,4.6
4,174,4.8
4,77,4.5
4,121,4.9
4,39,3.9
4,74,5.0
4,26,4.7
4,119,4.3
4,62,4.5
4,191,5.0
4,21,4.9
4,203,4.5
4,207,4.5
4,143,4.1
4,140,3.5
4,186,4.2
4,165,4.9
4,117,4.0
4,181,4.6
4,47,4.0
4,200,4.2
4,94,3.6
4,228,3.5
4,59,3.8
4,95,3.9
4,92,4.1
4,67,4.6
4,196,3.7
